sample,class,cluster_0,cluster_1,cluster_2
SW_MD_2-20_20250417_raw_swir,MD,22.143696339810212,52.17171260732037,25.68459105286941
SW_MD_2-20_20250418_raw_swir,MD,24.884898333688334,45.0608687103698,30.054232955941867
SW_MD_2-2_20250414_raw_swir,MD,26.088872678641987,39.32251299352603,34.588614327831976
SW_MD_2-2_20250415_raw_swir,MD,24.076648632351215,49.24205624696404,26.681295120684744
SW_MD_2-2_20250416_raw_swir,MD,21.444691697047173,50.196486908763795,28.358821394189036
SW_MD_2-2_20250417_raw_swir,MD,26.16255961844197,51.67428457869634,22.163155802861688
SW_MD_2-2_20250418_raw_swir,MD,25.95267453467207,48.59520873700898,25.452116728318945
SW_MD_2-3_20250414_raw_swir,MD,25.15287634002718,52.62532085157784,22.221802808394987
SW_MD_2-3_20250415_raw_swir,MD,36.645712295878155,49.20367281857669,14.15061488554515
SW_MD_2-3_20250416_raw_swir,MD,32.41545632885193,50.58762125875133,16.99692241239674
SW_MD_2-3_20250417_raw_swir,MD,33.157502038833265,48.94414464437542,17.89835331679131
SW_MD_2-3_20250418_raw_swir,MD,38.30294239535847,37.45683105401299,24.24022655062854
SW_MD_2-4_20250414_raw_swir,MD,22.790427123151073,51.266411833139436,25.94316104370949
SW_MD_2-4_20250415_raw_swir,MD,24.793844729014907,43.97385434662582,31.23230092435927
SW_MD_2-4_20250416_raw_swir,MD,20.780901383311022,43.42406663691804,35.79503197977093
SW_MD_2-4_20250417_raw_swir,MD,15.685334793920308,49.18697795426537,35.12768725181432
SW_MD_2-4_20250418_raw_swir,MD,23.437167155521326,39.57428679109247,36.98854605338621
SW_MD_2-5_20250414_raw_swir,MD,43.11210556916084,40.61206152328265,16.275832907556513
SW_MD_2-5_20250415_raw_swir,MD,46.26599473236691,44.20664053588834,9.527364731744747
SW_MD_2-5_20250416_raw_swir,MD,53.6644428763872,30.914426839438065,15.421130284174739
SW_MD_2-5_20250417_raw_swir,MD,53.97348364560178,30.753810733566212,15.272705620832012
SW_MD_2-5_20250418_raw_swir,MD,54.47888564664428,32.311108664134046,13.210005689221676
SW_MD_2-6_20250414_raw_swir,MD,31.488798790544255,44.13310885101704,24.378092358438703
SW_MD_2-6_20250415_raw_swir,MD,30.531609195402297,47.98132183908046,21.487068965517242
SW_MD_2-6_20250416_raw_swir,MD,39.76709661248964,35.15337305030173,25.079530337208627
SW_MD_2-6_20250417_raw_swir,MD,45.607242957675474,35.72681628455629,18.665940757768233
SW_MD_2-6_20250418_raw_swir,MD,46.699357903069746,37.87712199841675,15.423520098513501
SW_MD_2-7_20250414_raw_swir,MD,27.991792561002594,50.42747078111485,21.58073665788256
SW_MD_2-7_20250415_raw_swir,MD,42.90740171465656,40.77945144652799,16.313146838815452
SW_MD_2-7_20250416_raw_swir,MD,41.60084064062613,39.68222334951808,18.716936009855786
SW_MD_2-7_20250417_raw_swir,MD,47.11526545930922,36.91291801653478,15.971816524156
SW_MD_2-7_20250418_raw_swir,MD,42.76528561860109,39.031671610372214,18.203042771026695
SW_MD_2-8_20250414_raw_swir,MD,35.15010688725718,38.38460823496607,26.465284877776746
SW_MD_2-8_20250415_raw_swir,MD,33.5074832747086,39.72515345885923,26.76736326643217
SW_MD_2-8_20250416_raw_swir,MD,33.250492758591136,40.67529351272602,26.07421372868283
SW_MD_2-8_20250417_raw_swir,MD,39.19370875892615,34.85492181144355,25.9513694296303
SW_MD_2-8_20250418_raw_swir,MD,41.34930714840862,34.05872651792315,24.59196633366823
SW_MD_2-9_20250414_raw_swir,MD,31.46798396868301,50.01211669307485,18.519899338242148
SW_MD_2-9_20250415_raw_swir,MD,52.04818848316606,40.79293899921703,7.158872517616913
SW_MD_2-9_20250416_raw_swir,MD,43.0481232863761,41.259336295736034,15.692540417887871
SW_MD_2-9_20250417_raw_swir,MD,43.83156310397318,41.859510493098675,14.308926402928149
SW_MD_2-9_20250418_raw_swir,MD,47.171410058316305,39.98571167489076,12.842878266792933
SW_MD_3-10_20250414_raw_swir,MD,31.06244756598619,41.796631316281974,27.140921117731835
